start.date;duration.s;peak.c/s;total.counts;min energy.kev;max energy.kev
30.03.2002;612;128;261480;6;12
30.03.2002;212;100;96480;6;12
30.03.2002;8;104;4512;3;6
30.03.2002;496;100;192336;6;12
30.03.2002;768;1136;1067040;12;25
30.03.2002;544;528;512160;12;25
30.03.2002;484;37;58774;6;12
30.03.2002;1728;2032;7650469;12;25
30.03.2002;868;361;1016815;12;25
30.03.2002;212;51;48762;6;12
30.03.2002;588;697;608076;12;25
30.03.2002;264;63;70098;3;6
30.03.2002;420;1061;639550;3;6
30.03.2002;744;1200;1711728;3;6
30.03.2002;448;720;859680;3;6
30.03.2002;324;108;131088;3;6
30.03.2002;284;232;188064;3;6
30.03.2002;284;152;194112;3;6
30.03.2002;264;336;338784;3;6
30.03.2002;196;384;250368;3;6
30.03.2002;408;624;944736;3;6
30.03.2002;560;352;541152;3;6
30.03.2002;228;92;100800;3;6
30.03.2002;2328;5616;12513888;3;6
30.03.2002;156;384;213000;3;6
30.03.2002;604;17;28421;3;6
30.03.2002;1028;17;46529;3;6
30.03.2002;1068;152;190870;3;6
30.03.2002;772;48;66904;3;6
30.03.2002;160;2;1861;3;6
30.03.2002;816;651;1090416;3;6
30.03.2002;1008;2474;5499271;3;6
30.03.2002;1556;8210;16681604;3;6
30.03.2002;280;528;650424;3;6
30.03.2002;548;7;9685;3;6
30.03.2002;1916;256;505222;3;6
30.03.2002;432;2;4366;6;12
30.03.2002;336;2;3296;12;25
30.03.2002;236;2;2651;12;25
30.03.2002;1308;480;1700544;12;25
31.03.2002;532;720;796128;12;25
31.03.2002;360;184;235680;6;12
31.03.2002;780;256;326015;12;25
31.03.2002;580;2800;3803640;12;25
31.03.2002;392;1;1088;6;12
31.03.2002;244;0;367;6;12
31.03.2002;632;1;2301;6;12
31.03.2002;412;2;1790;6;12
31.03.2002;416;23;14757;12;25
31.03.2002;1260;105;198556;12;25
31.03.2002;312;152;214848;6;12
31.03.2002;612;152;333744;6;12
